PC=00000000, REG[ 8]=00000001
PC=00000024, REG[31]=00000f00
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000004
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ee0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000003
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000002
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ea0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ec0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000003
PC=00000040, REG[17]=00000001
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000002
PC=0000004c, REG[ 1]=00000003
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ee0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000004
PC=00000040, REG[17]=00000002
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000ee0
PC=00000058, ---
PC=00000048, REG[ 2]=00000003
PC=0000004c, REG[ 1]=00000005
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000f00
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000005
PC=00000040, REG[17]=00000003
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ee0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000002
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ee0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000003
PC=00000040, REG[17]=00000001
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000002
PC=0000004c, REG[ 1]=00000003
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000f00
PC=00000058, ---
PC=00000048, REG[ 2]=00000005
PC=0000004c, REG[ 1]=00000008
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000f20
PC=00000058, ---
PC=00000048, REG[ 2]=0000000d
PC=0000004c, REG[ 1]=00000015
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000f40
PC=00000058, ---
PC=00000048, REG[ 2]=00000022
PC=0000004c, REG[ 1]=00000037
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000f60
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=0000000a
PC=00000040, REG[17]=00000008
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000f40
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000007
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000f20
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000006
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000f00
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000005
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ee0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000004
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000003
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ea0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000002
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000e80
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ea0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000003
PC=00000040, REG[17]=00000001
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000002
PC=0000004c, REG[ 1]=00000003
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ec0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000004
PC=00000040, REG[17]=00000002
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ea0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000ec0
PC=00000058, ---
PC=00000048, REG[ 2]=00000003
PC=0000004c, REG[ 1]=00000005
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ee0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000005
PC=00000040, REG[17]=00000003
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000002
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ea0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ec0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000003
PC=00000040, REG[17]=00000001
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000002
PC=0000004c, REG[ 1]=00000003
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000ee0
PC=00000058, ---
PC=00000048, REG[ 2]=00000005
PC=0000004c, REG[ 1]=00000008
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000f00
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000006
PC=00000040, REG[17]=00000004
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ee0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000003
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000002
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ea0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ec0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000003
PC=00000040, REG[17]=00000001
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000002
PC=0000004c, REG[ 1]=00000003
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ee0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000004
PC=00000040, REG[17]=00000002
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000ee0
PC=00000058, ---
PC=00000048, REG[ 2]=00000003
PC=0000004c, REG[ 1]=00000005
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000f00
PC=00000058, ---
PC=00000048, REG[ 2]=00000008
PC=0000004c, REG[ 1]=0000000d
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000f20
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000007
PC=00000040, REG[17]=00000005
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000f00
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000004
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ee0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000003
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000002
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ea0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ec0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000003
PC=00000040, REG[17]=00000001
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000002
PC=0000004c, REG[ 1]=00000003
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ee0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000004
PC=00000040, REG[17]=00000002
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000ee0
PC=00000058, ---
PC=00000048, REG[ 2]=00000003
PC=0000004c, REG[ 1]=00000005
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000f00
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000005
PC=00000040, REG[17]=00000003
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ee0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000002
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ee0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000003
PC=00000040, REG[17]=00000001
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000002
PC=0000004c, REG[ 1]=00000003
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000f00
PC=00000058, ---
PC=00000048, REG[ 2]=00000005
PC=0000004c, REG[ 1]=00000008
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000f20
PC=00000058, ---
PC=00000048, REG[ 2]=0000000d
PC=0000004c, REG[ 1]=00000015
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000f40
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000008
PC=00000040, REG[17]=00000006
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000f20
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000005
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000f00
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000004
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ee0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000003
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000002
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ea0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ec0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000003
PC=00000040, REG[17]=00000001
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000002
PC=0000004c, REG[ 1]=00000003
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ee0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000004
PC=00000040, REG[17]=00000002
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000ee0
PC=00000058, ---
PC=00000048, REG[ 2]=00000003
PC=0000004c, REG[ 1]=00000005
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000f00
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000005
PC=00000040, REG[17]=00000003
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ee0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000002
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ee0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000003
PC=00000040, REG[17]=00000001
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000002
PC=0000004c, REG[ 1]=00000003
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000f00
PC=00000058, ---
PC=00000048, REG[ 2]=00000005
PC=0000004c, REG[ 1]=00000008
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000f20
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000006
PC=00000040, REG[17]=00000004
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000f00
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000003
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ee0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000002
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ee0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000003
PC=00000040, REG[17]=00000001
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000002
PC=0000004c, REG[ 1]=00000003
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000f00
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000004
PC=00000040, REG[17]=00000002
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ee0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000f00
PC=00000058, ---
PC=00000048, REG[ 2]=00000003
PC=0000004c, REG[ 1]=00000005
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000f20
PC=00000058, ---
PC=00000048, REG[ 2]=00000008
PC=0000004c, REG[ 1]=0000000d
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000f40
PC=00000058, ---
PC=00000048, REG[ 2]=00000015
PC=0000004c, REG[ 1]=00000022
PC=00000050, REG[27]=00000048
PC=00000054, REG[31]=00000f60
PC=00000058, ---
PC=00000048, REG[ 2]=00000037
PC=0000004c, REG[ 1]=00000059
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000f80
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=0000000b
PC=00000040, REG[17]=00000009
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000f60
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000008
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000f40
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000007
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000f20
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000006
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000f00
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000005
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ee0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000004
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ec0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000003
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ea0
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000002
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000e80
PC=00000028, ---
PC=0000002c, ---
PC=00000030, REG[17]=00000001
PC=00000034, REG[27]=00000038
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000002
PC=00000040, REG[17]=00000000
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000001
PC=0000004c, REG[ 1]=00000002
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ea0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000003
PC=00000040, REG[17]=00000001
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=0000005c, REG[ 1]=00000001
PC=00000060, ---
PC=00000048, REG[ 2]=00000002
PC=0000004c, REG[ 1]=00000003
PC=00000050, REG[27]=00000038
PC=00000054, REG[31]=00000ec0
PC=00000058, ---
PC=00000038, ---
PC=0000003c, REG[17]=00000004
PC=00000040, REG[17]=00000002
PC=00000044, REG[27]=00000048
PC=0000001c, ---
PC=00000020, ---
PC=00000024, REG[31]=00000ea0
